Street,City,State,neighborhood_name,crime_rate
56162 Omar Park,New York,NY,Downtown Manhattan,1.7
466 Dawson Terrace Apt. 858,New York,NY,South Bronx,3.6
9026 Chad Valley,Buffalo,NY,Midtown West,6.1
827 Santos Stream,Elizabeth,NJ,South Trenton,1.0
3635 Alison Bridge,Stamford,CT,East Hartford,2.7
47461 Patrick Groves,Rochester,NY,Northern Queens,9.3
58222 Rodriguez Bridge Apt. 443,Waterbury,CT,Downtown Stamford,9.4
1148 Christopher Harbors,Hartford,CT,North New Haven,7.1
83270 Kelley Burg Suite 646,Hartford,CT,Downtown New London,3.2
518 Brittney Tunnel Apt. 084,Buffalo,NY,South Staten Island,6.3
580 Diaz Mission,Waterbury,CT,North New Haven,7.1
1154 Victor Plains,New Haven,CT,North New Haven,7.1
98933 Mann Islands,New York,NY,Downtown Brooklyn,4.8
9426 Larry Corner,Stamford,CT,South Norwalk,7.0
683 Burch Lake,Elizabeth,NJ,South Trenton,1.0
62537 Jacob Parkway Suite 424,Jersey City,NJ,East Elizabeth,4.5
7299 Jennifer Estate Suite 768,Buffalo,NY,Lower East Side,6.8
731 Mccall Crossing Apt. 832,Waterbury,CT,South Norwalk,7.0
2488 Benjamin Motorway,Buffalo,NY,Downtown Manhattan,1.7
2235 Amanda Ports Suite 807,Hartford,CT,Downtown New London,3.2
21835 Thomas Trail,Hartford,CT,Downtown New London,3.2
47465 Butler Orchard,Paterson,NJ,Mid New Brunswick,7.6
4011 Smith Oval,Syracuse,NY,Downtown Brooklyn,4.8
26781 Lane Square Suite 759,Waterbury,CT,South Norwalk,7.0
513 Lucas Islands Suite 945,Albany,NY,South Bronx,3.6
1702 Alexander Trail,Newark,NJ,East Elizabeth,4.5
835 Griffin Pass Suite 053,New York,NY,Northern Queens,9.3
319 Castro Hollow,Syracuse,NY,Midtown East,2.1
984 Aaron Garden,Elizabeth,NJ,Downtown Camden,1.3
584 Anthony Vista Apt. 064,Jersey City,NJ,Mid New Brunswick,7.6
329 Joseph Rest Apt. 948,Hartford,CT,North New Haven,7.1
09624 Theresa Oval Apt. 727,Newark,NJ,South Trenton,1.0
289 Myers Trail Apt. 859,Waterbury,CT,Downtown New London,3.2
0182 Marissa Groves,Paterson,NJ,Downtown Camden,1.3
54309 Karen Plains,New Haven,CT,South Norwalk,7.0
1353 Villegas Courts Suite 207,Albany,NY,Downtown Manhattan,1.7
011 Cooper Island,Syracuse,NY,Northern Queens,9.3
1839 Watson Ridges Suite 648,Stamford,CT,North New Haven,7.1
4304 Susan Centers,Trenton,NJ,Mid New Brunswick,7.6
23879 Andrew Mews Suite 567,Newark,NJ,South Trenton,1.0
9813 Michael Manors Apt. 084,Jersey City,NJ,South Trenton,1.0
8447 Amanda Pines Suite 502,Bridgeport,CT,South Norwalk,7.0
830 White Orchard,Elizabeth,NJ,South Trenton,1.0
6211 Richmond Pass Suite 288,Paterson,NJ,East Elizabeth,4.5
152 Santiago Oval,New Haven,CT,East Hartford,2.7
799 Howell Pass Apt. 324,Bridgeport,CT,Downtown Stamford,9.4
36986 Christina Summit Suite 923,Hartford,CT,South Norwalk,7.0
030 Daniel Isle,Newark,NJ,East Elizabeth,4.5
42067 Victoria Run Apt. 699,Buffalo,NY,North Staten Island,2.0
18389 Kendra Harbor,New York,NY,Upper West Side,7.7
3047 Shannon Road,Albany,NY,West Bronx,1.7
413 Shawna Inlet,Stamford,CT,South Norwalk,7.0
29565 Deborah Expressway,Paterson,NJ,Downtown Camden,1.3
744 Young Street,Rochester,NY,Midtown West,6.1
4942 Buchanan Turnpike Apt. 925,New York,NY,Midtown West,6.1
36889 Yolanda Ridge,Buffalo,NY,Downtown Manhattan,1.7
872 Allison Trace,Trenton,NJ,East Elizabeth,4.5
280 Hardy Parks Apt. 900,Newark,NJ,Mid New Brunswick,7.6
7133 Logan Trail,Waterbury,CT,South Norwalk,7.0
48804 Price Hollow,New York,NY,South Bronx,3.6
823 Sheryl Coves,Waterbury,CT,Downtown New London,3.2
439 Matthew Green,Waterbury,CT,East Hartford,2.7
9540 Steven Mount Suite 229,Elizabeth,NJ,South Trenton,1.0
83933 Wendy Gardens,New Haven,CT,South Norwalk,7.0
045 Roger Radial Suite 353,Jersey City,NJ,South Trenton,1.0
85983 Matthew Terrace,Elizabeth,NJ,South Trenton,1.0
4491 Stephanie Mill,New Haven,CT,South Norwalk,7.0
