Office Name,Address,State,City,Date,Expense Type,Amount
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-02-26,rent,11641
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-02-26,water,167
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-02-26,electric,261
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-02-26,internet,159
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-03-28,rent,11641
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-03-28,water,181
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-03-28,electric,297
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-03-28,internet,159
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-04-27,rent,11641
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-04-27,water,143
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-04-27,electric,253
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-04-27,internet,126
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-05-27,rent,11641
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-05-27,water,203
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-05-27,electric,534
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-05-27,internet,146
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-06-26,rent,11641
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-06-26,water,236
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-06-26,electric,257
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-06-26,internet,189
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-07-26,rent,11641
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-07-26,water,237
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-07-26,electric,489
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-07-26,internet,100
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-08-25,rent,11641
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-08-25,water,185
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-08-25,electric,312
