school_ID,school_name,school_rating,school_type,school_level,state,city,street,zip_code
1,"Jackson, Smith and Williams",5,Public,Middle,NY,New York,631 Pine Drive,10060
2,Wilson Inc,8,Private,High,NY,New York,380 Chad Valley,11033
3,"Brown, Martin and Mann",0,Public,Elementary,NY,New York,927 Maple Street,11033
4,Burns Inc,6,Public,High,NY,New York,1156 Maple Street,11033
5,Weaver-Vargas,0,Public,High,NY,Buffalo,1795 Omar Park,10410
6,Mccoy Inc,6,Private,Middle,NY,Buffalo,3798 Maple Street,10410
7,Baker-Potter,8,Public,High,NJ,Elizabeth,5460 Alison Bridge,7725
8,Brown-Chen,1,Public,Middle,NJ,Elizabeth,368 Pine Drive,7725
9,"Fletcher, Poole and Alvarez",9,Public,Pre-K,CT,Stamford,2394 Omar Park,6119
10,Hawkins Ltd,5,Private,Pre-K,CT,Stamford,4120 Maple Street,6119
11,Carpenter-Jones,10,Public,Middle,CT,Stamford,1375 Oak Avenue,6119
12,Harris-Humphrey,0,Public,Pre-K,CT,Rochester,7116 Oak Avenue,10313
13,Jennings and Sons,4,Public,Elementary,CT,Waterbury,9932 Elm Circle,6132
14,Kane-Jones,1,Public,High,CT,Hartford,1918 Chad Valley,6120
15,Stout and Sons,4,Private,Elementary,CT,Hartford,10425 Omar Park,6120
16,"Walter, Ballard and Cooper",8,Public,High,CT,Hartford,2672 Elm Circle,6088
17,Warren Inc,9,Private,Pre-K,NY,Buffalo,3740 Elm Circle,10769
18,Walker Ltd,1,Private,Elementary,NY,Buffalo,10242 Pine Drive,10769
19,Nelson LLC,6,Private,Pre-K,NY,Buffalo,13281 Dawson Terrace,10769
20,Wallace-Parrish,9,Public,High,CT,Waterbury,10840 Cedar Lane,6280
21,Wilson Group,10,Private,Middle,CT,Waterbury,5040 Santos Stream,6280
22,Davenport-Nelson,5,Public,Middle,CT,Waterbury,19316 Elm Circle,6280
23,Logan Group,10,Private,Elementary,CT,New Haven,4416 Cedar Lane,6303
24,"Romero, Harris and Thompson",6,Private,Pre-K,NY,New York,10416 Dawson Terrace,14349
25,Reed Group,9,Private,Pre-K,CT,Stamford,11525 Santos Stream,6130
26,Williams Inc,8,Private,Elementary,CT,Stamford,4160 Cedar Lane,6130
27,Kennedy Ltd,1,Private,Middle,CT,Stamford,20520 Oak Avenue,6130
28,Gutierrez-Silva,10,Private,High,NJ,Elizabeth,3052 Dawson Terrace,8791
29,Green Ltd,3,Private,Elementary,CT,Jersey City,17168 Santos Stream,7265
30,Kaiser LLC,9,Private,High,CT,Jersey City,11940 Alison Bridge,7265
31,Welch-Hudson,3,Public,Middle,CT,Jersey City,16616 Cedar Lane,7265
32,"Gilbert, Thomas and Jones",2,Public,Pre-K,NY,Buffalo,20512 Elm Circle,13845
33,Duarte Ltd,3,Private,Middle,CT,Waterbury,4323 Pine Drive,6039
34,Shelton and Sons,0,Private,Elementary,CT,Waterbury,24208 Cedar Lane,6039
35,White-Williams,5,Private,Pre-K,CT,Waterbury,34825 Alison Bridge,6039
36,"Johnson, Graham and Rivera",6,Public,Elementary,NY,Buffalo,8244 Omar Park,10538
37,"Aguilar, Kelly and Holt",0,Private,Elementary,NY,Buffalo,11359 Omar Park,10538
38,Berry LLC,6,Public,Middle,CT,Hartford,35150 Cedar Lane,6268
39,"Oliver, Cruz and Kline",1,Public,Elementary,CT,Hartford,26871 Omar Park,6268
40,Brown-Mcpherson,2,Public,Middle,CT,Hartford,38680 Alison Bridge,6268
41,"Jones, Black and Merritt",3,Public,Pre-K,CT,Hartford,2378 Pine Drive,6180
42,Cuevas-Wallace,2,Public,Middle,CT,Paterson,39816 Omar Park,7209
43,Hill Inc,4,Private,Pre-K,CT,Paterson,35991 Dawson Terrace,7209
44,Brown PLC,9,Private,Middle,CT,Paterson,20240 Oak Avenue,7209
45,Flores LLC,3,Private,High,CT,Syracuse,25875 Omar Park,10965
46,Morgan-Glover,7,Private,High,CT,Waterbury,42182 Santos Stream,6287
47,"Adams, Lopez and Alvarez",10,Private,Elementary,CT,Albany,27965 Alison Bridge,12238
48,"Melton, Rogers and Martin",0,Public,Middle,CT,Newark,5472 Oak Avenue,8825
49,"Johnson, Williams and Santana",8,Private,Middle,CT,Newark,37779 Santos Stream,8825
50,Smith-Martin,4,Private,Pre-K,CT,Newark,4400 Santos Stream,8825
51,Thomas Ltd,3,Public,Elementary,NY,New York,29172 Oak Avenue,14614
52,Baldwin Ltd,0,Private,Middle,CT,Syracuse,31200 Dawson Terrace,12295
53,"Stanton, Lucas and Adams",10,Public,Elementary,CT,Syracuse,7526 Maple Street,12295
54,"Tanner, Macdonald and Yates",7,Private,High,CT,Syracuse,32940 Elm Circle,12295
55,Bishop-Faulkner,10,Public,Middle,NJ,Elizabeth,52195 Omar Park,8685
56,Flowers-Myers,3,Private,Middle,NJ,Elizabeth,53088 Elm Circle,8685
57,Gibbs Inc,9,Private,Elementary,CT,Jersey City,26163 Santos Stream,8939
58,Eaton-Lee,2,Public,Middle,CT,Jersey City,6960 Alison Bridge,8939
59,Bennett Group,9,Public,Elementary,CT,Jersey City,17287 Maple Street,8939
60,Carroll-Moss,8,Public,Middle,CT,Hartford,16020 Cedar Lane,6041
61,Bailey-Waller,8,Public,Pre-K,CT,Hartford,32452 Cedar Lane,6041
62,"Jacobs, Arnold and Franklin",4,Public,Elementary,CT,Newark,36766 Pine Drive,7240
63,"Richardson, Smith and Marsh",9,Public,Middle,CT,Waterbury,56889 Chad Valley,6283
64,"Jones, Smith and Turner",10,Public,High,CT,Paterson,39424 Alison Bridge,8088
65,"Benson, Peterson and Esparza",6,Public,Middle,CT,New Haven,13910 Chad Valley,6003
66,Flynn Inc,2,Private,High,CT,Albany,14256 Dawson Terrace,10139
67,Jackson-Davis,4,Private,High,CT,Syracuse,11256 Santos Stream,10418
68,Rich and Sons,6,Public,Pre-K,CT,Stamford,56032 Alison Bridge,6060
69,Bryant-Reed,10,Private,Elementary,CT,Stamford,20010 Pine Drive,6060
70,"Smith, Taylor and Ortega",10,Private,Middle,CT,Stamford,61460 Santos Stream,6060
71,"Medina, Thompson and Kent",9,Private,Pre-K,CT,Trenton,19454 Omar Park,7967
72,"Jackson, Howe and Daniels",10,Private,Middle,CT,Trenton,10152 Maple Street,7967
73,Kim-Mills,0,Public,High,CT,Trenton,35478 Maple Street,7967
74,Perez Ltd,1,Private,Elementary,CT,Newark,55352 Santos Stream,7832
75,Davis-Cochran,3,Public,Middle,CT,Newark,63150 Dawson Terrace,7832
76,Garner-Howell,1,Private,Middle,CT,Newark,61104 Elm Circle,7832
77,Howe Inc,10,Private,High,CT,Jersey City,57134 Alison Bridge,8760
78,Lawson-Armstrong,0,Private,Middle,CT,Bridgeport,1326 Omar Park,6219
79,"Pham, Phelps and Johnson",5,Public,Middle,CT,Bridgeport,31047 Alison Bridge,6219
80,Short-Palmer,5,Private,High,NJ,Elizabeth,34880 Oak Avenue,8707
81,"Williams, Crawford and Evans",1,Public,Pre-K,NJ,Elizabeth,1215 Pine Drive,8707
82,Clark-Smith,5,Private,High,CT,Paterson,65682 Oak Avenue,7503
83,"Franco, Munoz and Collins",7,Public,Pre-K,CT,Paterson,79514 Cedar Lane,7503
84,"Gray, Hayes and Smith",9,Private,Elementary,CT,Paterson,76692 Oak Avenue,7503
85,Merritt-Martin,10,Public,Pre-K,CT,New Haven,57800 Oak Avenue,6323
86,Walker-Baker,7,Public,Pre-K,CT,New Haven,34486 Santos Stream,6323
87,"Smith, Taylor and Nelson",1,Private,Elementary,CT,New Haven,39150 Chad Valley,6323
88,"Clark, Shaw and Knapp",9,Public,Pre-K,CT,Bridgeport,12584 Oak Avenue,6175
89,Cruz Inc,0,Private,High,CT,Bridgeport,72535 Chad Valley,6175
90,Waters-Orr,2,Private,Pre-K,CT,Bridgeport,13500 Omar Park,6175
91,Neal Ltd,7,Private,Elementary,CT,Hartford,49322 Alison Bridge,6136
92,Kim LLC,2,Private,High,CT,Hartford,62284 Cedar Lane,6136
93,Wolfe-Martin,0,Private,Elementary,CT,Newark,5673 Alison Bridge,8743
94,"Merritt, Pierce and Howell",9,Private,Elementary,NY,Buffalo,44274 Dawson Terrace,10529
95,Robertson-Gomez,1,Private,Middle,NY,Buffalo,22610 Omar Park,10529
96,"Dawson, Burns and Bullock",9,Private,Middle,NY,Buffalo,33696 Cedar Lane,10529
97,"Neal, Norman and Taylor",7,Private,Elementary,NY,New York,36569 Oak Avenue,11041
98,Barajas Inc,2,Private,Elementary,NY,New York,62426 Pine Drive,11041
99,Moore-Fox,9,Private,Elementary,CT,Albany,73854 Chad Valley,11342
100,Smith-Walker,2,Public,Middle,CT,Albany,19700 Dawson Terrace,11342
101,"Hicks, Hess and Wilson",10,Public,Middle,CT,Stamford,58580 Cedar Lane,6215
102,"Johnson, Garza and Ford",10,Private,Pre-K,CT,Stamford,26316 Dawson Terrace,6215
103,Lewis-Thornton,0,Private,Pre-K,CT,Paterson,23278 Elm Circle,7374
104,Gomez-Brooks,8,Private,Elementary,CT,Rochester,99632 Maple Street,12742
105,Glenn PLC,9,Private,High,CT,Rochester,19740 Oak Avenue,12742
106,Brown LLC,0,Private,High,CT,Rochester,21624 Cedar Lane,12742
107,"Browning, Stevens and Torres",7,Private,Middle,NY,New York,49541 Oak Avenue,13082
108,Bridges Inc,1,Private,Middle,NY,New York,49356 Omar Park,13082
109,Crosby-Wright,5,Private,Middle,NY,Buffalo,22890 Dawson Terrace,10560
110,Riley-Mitchell,9,Public,Elementary,CT,Trenton,93060 Maple Street,8687
111,"Mckenzie, Henry and Garcia",0,Private,High,CT,Trenton,41292 Chad Valley,8687
112,"Porter, Mercado and Rangel",1,Public,Pre-K,CT,Trenton,30688 Pine Drive,8687
113,"Case, Hall and White",5,Private,Elementary,CT,Newark,18419 Cedar Lane,8489
114,"Hansen, Wilson and Aguilar",3,Private,Pre-K,CT,Waterbury,93594 Chad Valley,6131
115,"Friedman, Castaneda and Willis",3,Public,Pre-K,CT,Waterbury,10580 Elm Circle,6131
116,Young Ltd,6,Private,Elementary,NY,New York,24708 Dawson Terrace,14683
117,Allen and Sons,0,Public,Pre-K,NY,New York,102141 Santos Stream,14683
118,Morris Ltd,5,Private,High,NY,New York,74930 Omar Park,14683
119,"Brooks, Jones and Calderon",3,Private,Pre-K,CT,Waterbury,103411 Omar Park,6150
120,Gill-Brewer,8,Public,High,CT,Waterbury,58800 Alison Bridge,6150
121,Tate Ltd,6,Private,High,CT,Waterbury,101398 Chad Valley,6096
122,Mosley and Sons,1,Public,High,NJ,Elizabeth,121268 Cedar Lane,8647
123,"Roberts, Gross and Fernandez",8,Private,Middle,CT,New Haven,70602 Omar Park,6279
124,Davis Ltd,3,Public,Pre-K,CT,Jersey City,79236 Chad Valley,8683
125,"Cabrera, Williams and Peters",5,Public,Elementary,CT,Jersey City,90625 Cedar Lane,8683
